Date Local,SO2 AQI
2000,14.257266300078555
2001,12.835229431617533
2002,11.030911306355415
2003,11.327608952253106
2004,11.247233100630002
2005,11.186186679174485
2006,10.006127548187514
2007,9.055128071817268
2008,7.309845963439313
2009,5.443967335045815
2010,4.306611029920775
2011,4.213639386861765
2012,3.3387270261422626
2013,2.964095250828171
2014,3.036477949216377
2015,2.536990948433017
2016,2.18669266390446
