Date Local,NO2 AQI
2000,30.969971411736463
2001,31.312335840663454
2002,29.362275769173205
2003,28.332484548253433
2004,26.946582444866365
2005,27.417807496040822
2006,26.994615178651117
2007,24.966102723222797
2008,23.492375511296622
2009,21.710275977921768
2010,21.913777350324597
2011,21.22152760584303
2012,20.396674102616103
2013,19.868758173819998
2014,19.44818335879139
2015,18.409024560512787
2016,20.070557632905217
