Date Local,CO AQI
2000,9.54011126868114
2001,8.792794403593858
2002,8.486660966224882
2003,8.246795020132364
2004,7.412931328174429
2005,6.893456277421929
2006,6.966186736474695
2007,6.030214779759738
2008,5.32094882818381
2009,5.162154377880184
2010,5.138582253163583
2011,4.824729501725926
2012,4.6036705265457725
2013,4.284674027730306
2014,4.242993069066148
2015,4.323288584214034
2016,4.446386472644501
